link,question,answer
http://aboutislam.net/counseling/ask-the-scholar/muslim-creed/sprinkling-water-on-graves-any-benefit/,"As-salamu `alaykum. What is the ruling on sprinkling water on the grave after burying the deceased person, justifying this by saying that it makes the dust solid on the grave? Does it make the grave cool for the dead?","Related Topics

 

Burying the Deceased in a Land Endowed for the Mosque: Permissible?								

 

Can a Mosque Have a Tomb?								

 

Is It Allowed to Put Iron Bars Around Graves?								Wa `alaykum as-Salamu wa Rahmatullahi wa Barakatuh.In the Name of Allah, Most Gracious, Most Merciful.All praise and thanks are due to Allah, and peace and blessings be upon His Messenger.Dear brother, thank you for your question and for your concern to be more knowledgeable about Islam’s teachings.There is nothing wrong with sprinkling water on the grave, but it also has nothing to do with cooling the deceased.As for what benefits the dead, the Prophet (peace and blessings be upon him) is reported to have said, “When a person dies, all his deeds come to an end except three: ongoing charity, beneficial knowledge (which he has left behind), or a righteous child who will pray for him.” (An-Nasai’)In response to your question, Sheikh Ibn `Uthaymeen (may Allah have mercy upon him), stated,There is nothing wrong with sprinkling water on the grave after burying a deceased person, because water holds the earth together in order not to scatter right and left.With regard to what the common people believe that sprinkling water cools down the deceased, there is no basis for this. (Majmu` Fatawa Ibn `Uthaymeen)Allah Almighty knows best.Excerpted with slight editorial modification from, islamqa.info/en"
http://aboutislam.net/counseling/ask-the-scholar/financial-issues/what-are-the-conditions-of-currency-exchange/,"As-salaam `alaykum! When changing international currency (Euro) to Algerian dinar, for example, does one has to follow the local bank rate or is it possible to use the parallel market one? How much is the amount of nissab in Germany? Baraka Allah Fikum!","Related Topics

 

Working as a Controller in a Taxi Company: Allowed?								

 

How Does Inflation Affect Loan Arrangement?								

 

Paying off Debt in Different Currency: Allowed?								Wa`alykum as-salaamu wa rahmatullahi wa barakaatuh.In the Name of Allah, Most Gracious, Most Merciful.All praise and thanks are due to Allah, and peace and blessings be upon His Messenger.In this fatwa:There are two conditions for currency exchange:1- If you change large units for small units of the same currency, the total amount must be the same.2- The exchange must be on the spot.In his response to your question, Prof. Dr. Monzer Kahf, Professor of Islamic Finance and Economics at Qatar Faculty of Islamic Studies, states:In currency exchange two conditions are necessary:1- If you change large units for small units of the same currency (e.g., 100 dollar bills for one dollar bill) the total amount must be the same; and,2-The exchange must be on the spot, i.e., delivery of the two currencies must be made at the time of the contract.This means:a) Exchange of Euro for Dinar can be done at any price agreeable to the two parties as long as there is no cheating or big deviation from the price that prevails in the market.When governments set prices for transactions that run through central banks, you have to abide by that price only when you have to go through the central bank. Does it mean other prices, such as parallel market price or a black market price, are permissible if you can avoid the central bank? Yes, they are permissible.b) Delivery must be at the time of the contract, you cannot delay any part of the payment of either currency for any time, even a few hours.But when such an exchange is done between countries and if the procedures of the transfers take some time (e.g., a few days), the transaction is still considered as happening on the spot, provided that you do not incorporate any intended delay in the procedure.Hence, you ask for an immediate transfer and immediate charge to your account or you pay cash and any procedural time consumed until the other party receives the other currency in the other country does not violate the principle of immediate delivery.Allah Almighty knows best.Editor’s note: This fatwa is from Ask the Scholar’s archive and was originally published at an earlier date."
http://aboutislam.net/counseling/ask-the-scholar/dawah-principles/giving-dawah-obligatory-2/,"There is a student dawah program that takes place in downtown, where we distribute pamphlets and translations of the Qur'an to the masses of people. Is giving dawah obligatory upon us? I do not have any proof or evidence on this. The only proof I have is that the Last Prophet has already come and there will be no more prophets. So it is upon the Ummah of the Last Prophet to invite people to the truth.","Related Topics

 

Can I Observe Christian Rituals in Interfaith Program?								

 

Tips on How Western Youth Utilize Summer								

 

What Dawah Activities Can We Do in Summer?								In the Name of Allah, Most Gracious, Most Merciful. All praise and thanks are due to Allah, and peace and blessings be upon His Messenger.In this fatwa:1- Muslims are commanded to set a good example for others in all aspects of life. They have to convey the message of Islam in the best way and not to help distort it.2- It is the responsibility of Muslim individuals, scholars, and people in authority to make dawah and convey the message of Islam to others in the best form and as instructed by the glorious Qur’an and the Sunnah of the Prophet (peace and blessings be upon him).3- They should use wisdom and good admonition and bear into consideration that everyone is free to choose to follow or not to follow the right guidance.In his response to your question, Sheikh Ahmad Kutty, a senior lecturer and Islamic scholar at the Islamic Institute of Toronto, Ontario, Canada , states:The Qur’an commands us to call people to the way of Allah. This is explicitly stated in a number of verses; for instance, we read in the Qur’an:“Call [all humankind] unto your Lord’s way with wisdom and goodly exhortation, and dialogue with them in the most gracious manner: For, behold, your Lord knows best as to who strays from His path, and best knows He as to who are the right-guided.” (An-Nahl 16:125)Furthermore, in his farewell sermon, the Prophet (peace and blessings be upon him) addressed Muslims saying, “Let those who are present here convey this message to those who are not present.” (Al-Bukhari)He meant to say that the Muslims have a responsibility to convey the message of Islam to all of humankind. But while doing so, they must always abide by the methodology of the Qur’an. This methodology is based on the assumption that everyone is free to choose to follow or not to follow the right guidance.In other words, the duty of Muslims is limited to conveying the message plainly; they are not supposed to lord over them or push the message down their throats. The Qur’anic principle on this matter is precise and clear: “There shall be no coercion in matters of faith; truth stands out starkly clear from falsehood.” (Al-Baqarah 2:256)Allah further tells His Messenger, “But if they turn away [from you, O Prophet, know that] We have not sent you to be their keeper: You are not bound to do more than deliver the message [entrusted to you.”  (Ash-Shura 42:48)“And so, [O Prophet,] exhort them; your task is only to exhort: You cannot compel them [to believe].” (Al-Ghashiyah 88:21-22)
Once we follow the method described above and keep in mind the sound principles, the activity of dawah is a most rewarding one. The Prophet (peace and blessings be upon him) told his cousin `Ali, “By Allah, if a single person is guided by Allah through you, it will be better for you than a whole lot of red camels.” (Al-Bukhari and Muslim)
So I commend you for your desire to convey the message of mercy inherent in Islam. But while doing so, be forever on guard against self-righteousness, and never fail to arm yourself with compassion and patience.I pray to Allah guide your steps in this noble pursuit, and may He guide us all unto the truth and make us all instruments of guidance.Almighty Allah knows best.Editor’s note: This fatwa is from Ask the Scholar’s archive and was originally published at an earlier date."
http://aboutislam.net/counseling/ask-the-scholar/morals-manners/kissing-children-lips-ok/,Is it OK to kiss our children on the lips?,"Related Topics

 

What Are the Wife’s Responsibilities Towards Her Parents?								In the Name of Allah, Most Gracious, Most Merciful. All praise and thanks are due to Allah, and peace and blessings be upon His Messenger.In his response to your question, Sheikh Ahmad Kutty, a senior lecturer and Islamic scholar at the Islamic Institute of Toronto, Ontario, Canada, states:While kissing on the cheek, head or face is allowed between parents and children and close blood relations, kissing on the lips is not desirable or even permissible. While it may be excused between a mother and a daughter, it is not at all permissible between a mother and her grown-up boys as ruled by scholars.In Islam, we are to avoid things that may inadvertently lead to suspicions or lustful thoughts. One of the rules of jurisprudence states, ‘That which leads to haram is also deemed as haram.’Furthermore, we are to avoid the doubtful. The Prophet (peace be upon him) said, “whoever shuns the doubtful is better enabled to safeguard his religion and honor, but whoever indulges in the doubtful may slide into that which is forbidden.” (Al-Bukhari)Almighty Allah knows best."
http://aboutislam.net/counseling/ask-the-scholar/financial-issues/storing-goods-monopoly/,"As-salamu `alaykum. Here in our country, Pakistan, people make large stocks of different things. However, one of my parents makes the stock of chaff (husk) being used for animals food, especially milk and meat providing animals. Every year during the wheat season, large piles/stocks of husk/chaff produced from the wheat crop is gathered and sealed with mud with the intention that they would sell it when its price would be up. Please, tell me according to the Islamic Shari`ah if this item of animal food being collected/stocked with the intention of selling it whenever it would become expensive is right or wrong. Thanks, regards.","Related Topics

 

Is It Allowed to Use Credit Cards?								

 

Is Buying a Timeshare Lawful?								

 

Online Gold Trading: Permissible?								Wa `alaykum as-salamu wa rahmatullahi wa barakatuh.In the Name of Allah, Most Gracious, Most Merciful.All praise and thanks are due to Allah, and peace and blessings be upon His Messenger.Dear brother, thank you for trusting us and for your question that shows your concern to be more knowledgeable about Islam.It should be clear that there is a big difference between monopoly and trade; stocking goods with the intention of raising prices is monopoly. But stocking them while being abundant in the market to sell them later, when their prices become higher, is not monopoly and obviously is not haram.In his response to your question, Prof. Dr. Monzer Kahf, a prominent economist and counselor, states,Stocking it when it is abundant to sell it later is not haram, rather this is a rational thing to do. But storing it with the intention of increasing its price in the market is a different thing.The difference between monopoly and trade is great; in monopoly you just hoard the goods to make prices go up. In trade, you just buy it when it is cheap because it is then abundant and sell it later when it becomes not so abundant in the market. This is in fact a service you make for the consumers.Allah Almighty knows best.  "
http://aboutislam.net/counseling/ask-the-scholar/indulging-in-this-worldly-life-ok/,"As-salamu `alaykum. Is it permissible for a Muslim to indulge in this worldly life competing with one another for wealth and status, enjoying the good things of this life, beautifying oneself and one's home and working hard to achieve worldly success? This is all done, of course, without neglecting religious duties.","Related Topics

 

Understanding Allah, Jesus, and the Holy Spirit								

 

Sinned a Lot: Will Allah Ever Forgive Me?								

 

Are Black People Going to Hell According to Islam?								Wa `alaykum as-Salamu wa Rahmatullahi wa Barakatuh.In the Name of Allah, Most Gracious, Most Merciful.All praise and thanks are due to Allah, and peace and blessings be upon His Messenger.Brother, thanks for your question.First of all, we would like to say that in principle, indulging in the life of this world without neglecting religious duties is definitely permissible. However, a Muslim must be aware that the more he indulges in this life, the more liable he is and the more his responsibilities will increase.This should not make us turn away from succeeding in life and achieving goals, but rather it should make us more attentive to the tricks of Satan. In this regard, Ibrahim Al-Nakh`i, a great scholar who died in 96 AH, was asked: “Is the honest trader preferable to you, or the one who spends all his time in worship?” He said: “The honest trader is preferable to me, because he is in jihad.” Satan comes to him through the weighing and measuring and through his dealing, but he is striving against him.You also mentioned in your question about competing in achieving wealth. In this case, we ought to mention that this kind of competition should never be done for its own sake. However, if it is done for the sake of making Muslims strong and contributing to the achievements of the Muslim Ummah, then it is permissible. Allah the Almighty says in the context of describing the reward of the believers in Paradise, “They are given to drink of a pure wine, sealed, whose seal is musk – for this let (all) those strive who strive for bliss.” (Al-Mutaffifin 83:26) This is the most important type of competitiveness that we should never forget.Moreover, in order to answer your question fully we would like to shed some light on four fundamental beliefs that will surely help us:1- The life of this world is transitory.Imam Al-Ghazali says, “Know that the life of this world is transitory. Its duration is fleeting; it promises eternity but fails in its tryst, you look at it and it seems settled while it is in great motion. It is departing with speed, but the one who looks at it may not feel its movement so he relaxes in it; he will only feel it when it reaches its end. It is like a shadow that moves unperceived; while it is actually moving, it appears to be stationary. You cannot see its movement with the eyes but you can perceive it by inner discernment.” See: Al-Ghazali’s Revitalization of the Sciences of Religion.This is a key belief that each Muslim must adhere to. The more one’s belief in this principle weakens, the more likely his indulgence in the wealth and luxury of this world will hinder him in the Hereafter.2- Wealth is a tool that can be either praiseworthy or blameworthy.Whoever knows the benefit of something and uses it to achieve his aims, has done well and has benefited himself. Wealth is a tool and can be a means to attain a corrupt purpose; and it is that purpose which hinders the person from attaining happiness in the Hereafter and impedes the way to knowledge and achievement. Thus, it is both praiseworthy and blameworthy.” See: Al-Ghazali’s Revitalization of the Sciences of Religion.Wealth, career and assets are not aims in themselves, but rather tools and means that a Muslim uses for the benefit of this world as well as the Hereafter. If we remember this, wealth will always be in our hands, not our hearts. We will not be desperate for wealth, but rather desperate to please Allah the Almighty with the tools He has given us.3- While seeking wealth, a Muslim must never forget his religious duties.Allah the Almighty says in the Glorious Qur’an, “O you who believe! Let not your wealth nor your children divert you from the remembrance of God, and whoever does that, they are the losers.” (Al-Munafiqun 63:9)In this verse, Allah the Almighty did not forbid us from seeking wealth or children, but rather He forbade us from allowing them to divert us from remembering Him and being steadfast on the duties that He has asked us to fulfill. While seeking a great career, a Muslim should not forget his duties towards Allah the Almighty, his religion – the Ummah, and of course his family. He should never compromise his religion for the sake of this life. Also, one must not do any impermissible job or fall into any impermissible dealings for the sake of supplying himself and his family with the things they desire. The permissible always leads to opulence and bliss.4- Wealth is a trust that requires gratitude and sharing.Allah the Almighty says, “Your wealth and your children are only a temptation, and with God is an immense reward.” (At-Taghabun 64:15)The word ‘temptation’ in this verse means a ‘test.’ We are given blessings and bounties, but do we thank Allah the Almighty for them? Do we remember Allah the Almighty when we are rich? Or do we only remember Him when we fall into hardships? Do we pay the zakah that we are required to give? Do we help the needy? We are tested through bounties such as wealth, to see whether we will misuse them or use them in the right place and in the right way; whether we will thank Allah the Almighty for them or not, and whether we will give the needy their share or not. In this regard, Imam Al-Hasan Al-Basri says, “Allah the Almighty has mercy upon people to whom the world was a trust, so they paid it back to the One who entrusted them with it, and they departed unburdened.”If these four cornerstones are well-rooted in a Muslim’s heart and he continuously evaluates himself accordingly, then indulging in the life of this world will not hinder him in the Hereafter, in sha’ Allah.Allah Almighty knows best."
http://aboutislam.net/counseling/ask-the-scholar/acts-of-worship/can-pray-witr-twice-one-night/,"Dear scholars, As-Salamu `alaykum. I want to ask whether at the end of Tarawih Prayer we should pray ash-Shaf` (two rak`ahs of voluntary prayer) and Witr? I heard that the last prayer you pray should be Witr. Does that mean that if I get up to pray Qiyam al-Layl (the night vigil) I should pray ash-Shaf` and Witr again, or should I delay them until I pray Qiyam and then pray them? Jazakum Allah khayran.","Related Topics

 

How to Cope With Ramadan, Exams, and Distractions?‏								

 

How Should the Opening Supplication Be Recited in Tarawih Prayer?								

 

What Are the Merits of Sunnah Prayers?								Wa `alaykum As-Salamu wa Rahmatullahi wa Barakatuh.
In the Name of Allah, Most Gracious, Most Merciful.
All praise and thanks are due to Allah, and peace and blessings be upon His Messenger. Dear questioner, we are happy to receive your question and hope that our efforts meet your expectations. May Allah help us all to serve His great religion of Islam. Amen.Responding to the question in point, Sheikh M. S. Al-Munajjid, a prominent Saudi Muslim lecturer and author, states: “If the Muslim prays Witr then he wants to pray Qiyam al-Layl after that, he should pray it two by two, and he does not have to repeat Witr.The Prophet (peace and blessings be upon him) commanded that the last prayer offered at night should be Witr, but this command is in the sense that it is mustahabb (recommendable), not obligatory.Sheikh Ibn Baaz was asked:If I have prayed Witr at the beginning of the night, then I get up to pray Qiyam at the end of the night, how should I pray?He replied:If you have prayed Witr at the beginning of the night then Allah enables you to get up at the end of the night, then pray whatever you can two by two – without Witr, because the Prophet (peace and blessings be upon him) said: “There cannot be two Witrs in one night.” And it was narrated from `A’ishah (may Allah be pleased with her) that the Prophet (peace and blessings be upon him) used to pray two rak`ahs after Witr sitting down. The reason for that – and Allah knows best – was to show the people that it is permissible to pray after Witr.”Allah Almighty knows best.Excerpted, with slight modifications, from: www.islamqa.info"
http://aboutislam.net/counseling/ask-the-scholar/hajj/hajj-benefits-individual-ummah/,What are the benefits of Hajj for the individual and the Ummah?,"Related Topics

 

Lessons to Learn from Hajj								

 

Is There Zakah on the Money Saved for Hajj?								

 

Can I Perform Hajj on Behalf of Dead Non-Muslim Father?								In the Name of Allah, Most Gracious, Most Merciful.All praise and thanks are due to Allah, and peace and blessings be upon His Messenger.In this fatwa:1- The benefits of Hajj are great.2- Hajj inculcates the spirit of love and devotion to the One and Only God.3- It unifies peoples’ minds and hearts on almost the same purposes, i.e. to please their Lord and to have their sins forgiven. So all those who perform Hajj, despite their differences in ethnicity, culture, and language, share the same rites and hopes. Even those who do not perform Hajj turn their hearts and eyes towards the Ka`bah. So Hajj unifies the minds and hearts of all Muslims towards this great pillar of Islam.In his response to your question, Sheikh Ahmad Kutty, a senior lecturer and Islamic scholar at the Islamic Institute of Toronto, Ontario, Canada , states:The hajj benefits for the individual and the Ummah are enormous. Here are some of them:1- Hajj revives the spirit of utter love and devotion to the One and Only God by keeping alive the faith, struggle, and path of Prophet Ibrahim and his son Isma`il.2- Hajj helps humans break the many barriers of race, language, ethnicity, and color that divide them, and helps them to create the unity of a single human family based on the recognition of God as the Creator and Sustainer of all creation.3- Hajj helps keep alive the memory of humanity’s final standing for judgment before their Lord and Judge.4- Hajj helps individuals become whole once again after cleansing themselves of the many sins they accumulate over the course of their lives. The Prophet (peace and blessings be upon him) said, “Whoever performs Hajj and stays away from lewdness, wrangling, and obscenities will come home like a newborn.” (Al-Bukhari and Muslim)Almighty Allah knows best."
http://aboutislam.net/counseling/ask-the-scholar/dhikr-supplication/how-to-keep-on-doing-good-deeds-after-ramadan/,"As-salamu `alaykum. During Ramadan, I was heart and soul mindful of Almighty Allah. I would offer supererogatory acts of worship, feeling the sweetness of faith while doing so. I would read the Qur'an a lot, stop gazing at unlawful things, and was keen on observing Prayers in congregation. But this has changed after Ramadan. I no longer feel the sweetness of worship. I have lost my keenness on observing supererogatory acts of worship or reciting the Qur'an. I am no longer even keen on observing Prayers in congregation. Many times I have missed observing Fajr Prayer in congregation. Can I find a solution or treatment for this problem?","Related Topics

 

How Will the Prophet Intercede for Us In The Hereafter?								

 

Doing Good Deeds Without Valid Intention: Rewarded?								

 

Doing Good Deeds Prior to Making Duaa: OK?								Wa `alaykum as-Salamu wa Rahmatullahi wa Barakatuh.In the Name of Allah, Most Gracious, Most Merciful.All praise and thanks are due to Allah, and peace and blessings be upon His Messenger. Responding to your question, `Abdullah ibn Abdulrahman ibn Jibreen, the late member of the Permanent Committee for Islamic Research and Issuing Fatwas states:Dear brother, here are ten means of keeping on doing good deeds after Ramadan:1- Seek Allah’s support, beseeching Him Almighty to guide you to the right path and help you remain steadfast in faith. Allah Almighty has praised the supplication of those who are of sound instruction when they (have) said, “Our Lord! Cause not our hearts to stray after Thou hast guided us, and bestow upon us mercy from Thy Presence. Lo! You, only You are the Bestower.” (Aal `Imran 3:8)2- Be keen on being in the company of the righteous and attending dhikr meetings such as religious lectures or visiting a righteous friend to make dhikr (remembrance of Allah) together.3- Acquire knowledge about the biographies of the Prophet’s Companions (may Allah be pleased with them all) and the righteous believers by reading books and listening to tapes. This will stimulate you to keep firm in faith and follow in their footsteps.4- Listen to audio recordings that deal with religious admonitions and righteous speeches.5- Be keen on observing the obligatory acts of worship.6- Keep on offering supererogatory acts of worship; do what you are most inclined to and can do regularly, even if it is little. The Prophet (peace and blessings be upon him) said, “O people! Do only those good deeds which you can do, for Allah does not get tired (of giving reward) till you get tired, and the best deeds to Allah are the incessant ones, even though they may be few.”(Al-Bukhari and Muslim)7- Start learning Allah’s Book by heart. Recite what you have learned during Prayer and keep reciting the Qur’an as much as you can.8- Perform dhikr a lot and ask Almighty Allah for forgiveness. This may seem a tiny good act, yet observing it regularly increases faith and strengthens the heart.9- Keep away from everything that may cause your heart to divert from the right path such as bad people, indecent television programs, pornographic pictures, and love songs.10- Last, but not least in importance, truly repent to Almighty Allah and be keen on not deviating from the right path again. Allah Almighty rejoices when His bondman returns to Him Most High in true repentance.Dear brother, do not be one of those who do not pay heed to Allah Most High except in Ramadan. The righteous predecessors said about them, “Woe to those people who do not become mindful of Almighty Allah but in Ramadan!May Allah help you be steadfast in the right path until you reach the following Ramadan in best health and condition.Allah Almighty knows best.Excerpted, with slight modifications, from, www.islamtoday.com"
http://aboutislam.net/counseling/ask-the-scholar/fiqh/kids-mosque-restrictions/,"As-salamu `alaykum. First, I would like to know whether it is permissible to bring small kids to the mosque. In our mosque, women bring small 2 and 3-year-olds to the mosque where they spend their time screaming and fighting. Some girls complain that this distracts their attention during salah. Still these women insist on bringing their kids to the mosque.","Related Topics

 

Many Difficulties in Raising My Children in the West, Help!								

 

Love My Cousin But Parents Reject Him: What to Do?								

 

I Have No Time for the Kids, Please Help								Wa `alaykum as-salamu wa rahmatullahi wa barakatuh.In the Name of Allah, Most Gracious, Most Merciful.All praise and thanks are due to Allah, and peace and blessings be upon His Messenger.Dear sister, let us first commend your question which shows your strong concern about mosques and how to perform the rituals peacefully and quietly.Generally speaking, bringing children to mosques is not only allowed but also advisable in Islam on the condition that they do not cause disturbance or distraction to the worshippers.The community, in cooperation with the imam, should provide proper facilities for kids taking into consideration the importance of endearing mosques to children.In his response to your question, Sheikh Ahmad Kutty, a senior lecturer and an Islamic scholar at the Islamic Institute of Toronto, Ontario, Canada, states,Parents are not allowed to bring their children to mosques if they are in any way distracting the worshippers, and yet the parents are not able to control them.How can they do so, when the Prophet (peace and blessings be upon him) ordered us not to disturb those who pray even by reading the Qur’an?Having said this, I should also point out that mosques are not allowed to bar the children. We should rather encourage them to frequently join mosques as long as the parents make sure they do not cause any disturbance or distractions for those who pray.During the Prophet’s time, occasionally, parents brought their children to the mosque during the hours of the regular prayers, and hence occasionally the Prophet (peace and blessings be upon him) would cut short his prayers if he would hear an infant’s cry because of his pity for the mother and the baby.Based on this, some scholars are of the view there is nothing wrong in bringing the children to the regular prayers as long as they are not a constant source of distraction.However, this does not mean that they should be bringing children to the mosque for night prayers such as taraweeh or qiyam where imams are supposed to be reading long Surahs and they are supposed to finish their fixed portions of the Qur’an each night in order to complete the entire Qur’an during the month.Bringing children to mosques at these irregular hours would, therefore, be a source of distraction for the imam as well as his followers. Moreover, it would also amount to abusing the children as they are supposed to be in bed at the time.Therefore, it is advisable for the parents not to bring the children to the mosque at such odd hours, while they may do so at other times.Allah Almighty knows best. "
