link,question,answer
http://www.darulifta-deoband.com/home/en/Islamic-Names/14922,"Assalamu Alaikum, I want to name my new born son as Arhaan Abbas. Please let me know if this is a proper Islamic name. Also,can you tell me meaning of Arhaan. wassalam","
بسم الله الرحمن الرحيم
(Fatwa: 1301/1237=B/1430)
 
We neither know what Arhaan means and to which language it belongs. Instead, you should keep his name as Raihan Abbas. Raihan means: flower.  
Allah knows Best!

Darul Ifta,Darul Uloom Deoband
"
http://www.darulifta-deoband.com/home/en/Islamic-Names/12273,"Assalmualaikum mufti sab, I want the meaning of the names: (1) TEHSEEN FATHIMA, a girl name & (2) sumaiah fathima ,a girl name 3) ABDUS SUBHAN a boy name. Remember me in dua.[12 Apr, 2009] ","
بسم الله الرحمن الرحيم
(Fatwa: 670/670=M/1430)
 
Tahseen means beautiful, while Fatimah means a woman weaning her child, it was the name of the beloved daughter of the Prophet (صلی اللہ علیہ وسلم). Sumayyah means high, of a high rank. Naming a boy with Abdus Subhan is not right.  
Allah knows Best!

Darul Ifta,Darul Uloom Deoband
"
http://www.darulifta-deoband.com/home/en/Halal--Haram/5561,"Assalamu-alaikum, Now a days, cockroaches are disturbing a lot. They are all around the house, specially in the kitchen. So, I started killing them wherever they are found, not only in our house. Am I doing crime killing a creature of Allah Subhana Wa Ta'la ? If not, then will it be a sin if I leave them alive? What is about killing other insects like mice, ants, mosquito etc.? What limit should we follow in killing or leaving them alive? Zazakallahu Khairan. ","
بسم الله الرحمن الرحيم
(Fatwa: 707/592=B)
 
Yes, killing cockroach is allowed. The mice/rats, ants, lizards can be poisoned to death.  
Allah knows Best!

Darul Ifta,Darul Uloom Deoband
"
http://www.darulifta-deoband.com/home/en/Business/1837,Last time I questioned you about RCM business U allowed it on the basis that it is halal for resale but u had rejected it on the basis that we earn on the working of the downline.But for ur kind information this business is of resale here the person earns who purchase more n resale more as his resale or purchase increases his commission slab increases this has benifitted many people specially down trodden people and the poor my question is that why did u considered it haraam while it will eradicate the problem of TV (indirectly)It will eliminate the advertisement cost n the same amount is distributed among the distributors I urge U to plz go to the site of rcmbusiness.com inshallah u will get pleased by this business as it doesnt involve any money circulation and money doubling.,"
بسم الله الرحمن الرحيم
(Fatwa: 644/635=D)
 
It was termed haram since it consists of interest, gambling, gharar (aleatory/jeopardy) and bai-e-fasid (invalid transaction).  
Allah knows Best!

Darul Ifta,Darul Uloom Deoband
"
http://www.darulifta-deoband.com/home/en/Nikah-Marriage/44696,My question is that when Hadhrat Ali (RA) married Hadhrat Fatima (RA) then how many dirhams were given as mahr to Hadhrat Fatima (RA) by Hadhrat Ali (RA)? I also want to ask that what is the present value of that mahr in Indian rupees.,"
بسم الله الرحمن الرحيم						
			
			

			(Fatwa: 572/572/M=1434)

As per the hadith, the mahr of the holy wives and daughters of the holy Prophet Muhammad (صلى الله عليه وسلم) was five hundred dirhams. In some hadith the quantity of mahr Fatmi is mentioned 480 dirham. The weight of five hundred dirhams as per the current gram is 1530.9g silver while the quantity of 480 dirhams is 1469.664g silver. You may learn the calculation of said weight in Indian rupees from the market.

Note: The mahr of Umm Habibah (رضى الله عنها) was 1100 dirhams. The nikah of Umm Habibah (رضى الله عنها) was performed by Najashi, the king of Habsha and he himself took the responsibility to pay it. (L)			
Allah knows Best!

Darul Ifta,Darul Uloom Deoband
"
http://www.darulifta-deoband.com/home/en/Dua-Supplications/13859,"as salam alia kum mufti saheb iam 33 years old a female from india hyderabad, i got married in 2000 i did a love marriage against my mother but later on my accepted my marriage , iam an graduate and my husband is illetrate person, iam havin two kids one son who is 8 years old and one daughter 5 years old. after my marriage one year i was happy but later on my husband started behaving very bad towards me even started suspecting me with everyone my cousins, my brotherinlaws, with his own brother and also with non-muslims. my mother expired in 2004, i am having only one brother i am staying with my brother my husand is in qatar he is sending money through his mother but he is not talking with me from one year. he ordered me not to go out of home i am obeying him even though he suspects me now his family also started mentally tortureing me, i asked my husband to stay along with me in india even though he is not listening me. some times i feel that i didnt obeyed my mother thats hwhy iam suffering all this allahamdulla i pray 5 times namaz and i have faith in allahathalla that he will return my husband, so mufti saheb please pray for me and give me some dua and wazifas, i will be very thankfull to you allahafeez ","
بسم الله الرحمن الرحيم
(Fatwa: 1392/1094=H/1430)
 
Recite the following verses 11 times after every salah and while going to bed in state of wudhu with durood 11 times before and after:
وَالَّذِينَ يَقُولُونَ رَبَّنَا هَبْ لَنَا مِنْ أَزْوَاجِنَا وَذُرِّيَّاتِنَا قُرَّةَ أَعْيُنٍ وَاجْعَلْنَا لِلْمُتَّقِينَ إِمَامًا  (25:74)
إِنَّهُ عَلَى رَجْعِهِ لَقَادِرٌ  (86:8)
Also, at times perform two rak?ah Salatul Haajah and supplicate to Allah for yourself and husband. May Allah grant success in all fair objectives and protect against all undesirables.  
Allah knows Best!

Darul Ifta,Darul Uloom Deoband
"
http://www.darulifta-deoband.com/home/en/Sawm-Fasting/7528,"I am living in DELHI. In our masjid we have basement ,ground,first & IInd floor. generally daily five namaz are held in ground floor but during RAMZAN ISHA namaz with tarawi and vitr is held seperately by different imams in basement,ground and first floor. They say that as people come from thier office and business works at different times therefore seperate namaz in one masjid in different floor is jaiz.please give your view point at the earliest as ramzan is fast approaching.","
بسم الله الرحمن الرحيم
(Fatwa: 952/952=M/1429)
 
You should perform obligatory salah of Isha behind Imam and avoid arranging separate jamaats in different floors of a mosque, though it is allowable to offer separate Tarawih in different floors of a mosque provided there is narrow place, no sound echoing, no chaotic situation etc, but it is undesirable (makrooh tanzihee). It is another matter if performed on account of little space, but it should not be made a custom. If you want to perform Tarawih separately, then also you must offer Isha salah with jamaat and choose any other suitable place out of a mosque for Tarawih.  
Allah knows Best!

Darul Ifta,Darul Uloom Deoband
"
http://www.darulifta-deoband.com/home/en/Inheritance--Will/153736,"I have two questions to ask. (1) I have 3 sisters and I am their only brother. 11 years ago my father expired. My mom is still alive. So we want to distribute money according to Shariah. Kindly advice. (2) My mom has 7 plots and a flat. Now she also wants to distribute it but according to her wish not as per Shariah, so is it haram in Islam? Also if it is haram how to distribute it according to Shariah? My sisters say happily without any pressure that they don't want anything from us, so will it be acceptable if they will not take their share? Kindly note that my mom's and dad's parents expired and I am unmarried. ","
بسم الله الرحمن الرحيم

	(Fatwa: 1323/1298/M=11/1438)

	 

	The seven plots which are with your mother if they are left by your deceased father then all the Shariah heirs shall have their shares in it. It is wrong for your mother to distribute them as per her own wish. It is wajib to give each heir his/her Shariah share. The mother is entitled to receive only eights share while remaining shares shall go to you and your three sisters, you shall have double of the sisters’ shares. If the sisters don’t want to take their shares, then they can first receive their shares and then give it to you. But in case your mother is the owner of the said seven plots and she wants to distribute them in her life then the best method is that all the children are given equal shares. However, there is no harm if some differences are made on reasonable basis and there is no intention to harm any heir. 

Allah knows Best!

Darul Ifta,Darul Uloom Deoband
"
http://www.darulifta-deoband.com/home/en/Interest--Insurance/1122,I have been offerred a franchise of a general insurance company IFFCO TOKIO.It deals only in general insurance and not in life insurance.Please let me know if insurance business is halal or not in the light of the Quran and hadith. ,"
بسم الله الرحمن الرحيم
(Fatwa: 978/722=H)
 
Medical insurance involves interest, usury and gambling. But as far as the insurance of car, house and company is concerned then how you will sell it. Please, clear all these points and ask the question again. 
Allah knows Best!

Darul Ifta,Darul Uloom Deoband
"
http://www.darulifta-deoband.com/home/en/Others/23075,"I am an unmarried sister who tries hard to adhere to Islamic teachings. 

1. Many times I get dreams of myself urinating in my dream . I feel soo disgusted at myself & keep repenting bcos bad dreams are supposed to be from Satan . What could the dream posibly mean ? Please tell me. I'm extrememly worried .

2. Also , some times I get dreams that i'm praying in front of the Holy  Kaabah or I'm in  Madinah & in front of Gumbad -e -Khidra? What could the inference of this dreams be?

","
بسم الله الرحمن الرحيم						
			
			

			(Fatwa: 976/764/D=1431)(1) The first dream too is right. It indicates that if you have problems your problems shall be removed and if you are under debt, in-sha-Allah your debt shall be paid.(2) The other dreams are blessed, in-sha-Allah you shall get the honour of Hajj or Umrah. Get firmness in good deeds. 
Allah knows Best!

Darul Ifta,Darul Uloom Deoband
"
http://www.darulifta-deoband.com/home/en/Talaq-Divorce/41424,"My question is this that if a husband in anger said to his wife three times face to face that ""I divorce you, I divorce you, I divorce you"", at the same time then is this divorce valid? After telling these words now he is saying that he was in anger and he had no intention to give divorce to her.
So I have some more questions below:
(1) Is intention necessary, important and essential part to give divorce by a husband? If there is no intention and a husband used words of divorce three time like ""I give you divorce"" then has divorce taken place? What is the importance of intention of a husband to give divorce?
(2) If the husband was in anger, and now saying he was angry, then divorce given in anger is valid?
(3) Is divorce given three times all at the same time saying words like ""I give you divorce, I give you divorce, I give you divorce"" is consider as one divorce or it is valid for three time divorce? And can a husband still take her wife back?","
بسم الله الرحمن الرحيم						
			
			

			(Fatwa: 1680/B=405/TB=1433)

(1) There is no need of intention when talaq is given in clear word. Talaq takes place without intention as well:
لأن الصريح لا يحتاج إلى النية (عالمگیری)
(2) According to Hanafi Fiqh, talaq takes place in the state of anger as well.
(3) By giving three talaqs in a single meeting all the three talaqs take place. One cannot keep one’s wife with him after giving three talaqs without a valid halalah. It is mentioned in the holy Quran:
فَإِن طَلَّقَهَا فَلاَ تَحِلُّ لَهُ مِن بَعْدُ حَتَّىَ تَنكِحَ زَوْجاً غَيْرَهُ [البقرة : 230]			
Allah knows Best!

Darul Ifta,Darul Uloom Deoband
"
http://www.darulifta-deoband.com/home/en/Nikah-Marriage/1911,"As Salaam O Alaikum, Is it allowed for A Sunni Muslim Boy to marry a Shia Irani Girl? and what if the girl does not wish to change herself to Sunni Sector and wants to remain Shia after marriage, please explain in details. Thank you.","
بسم الله الرحمن الرحيم
(Fatwa: 1572/1214=H)
 
Iranian Shia girl is most probably having the beliefs that may prevent a Sunni Muslim to marry her. If you like to see the details of beliefs of Iranian Shias you should study Â“Irani Inquilab: Imam Khumaini and ShieeatÂ”. You may purchase this book from Deoband, Delhi or Lucknow book depots.  
Allah knows Best!

Darul Ifta,Darul Uloom Deoband
"
