link,question,answer
https://eshaykh.com/dreams/marriage-20/,"
Salamalikum. After fajr prayer, I prayed to Allah that I wanted to meet my boyfriend in my dream, who lives in another country.I went to sleep right after fajr, I saw myself enter a room where his marriage was being celebrated. When he saw me he got up and welcomed me with the biggest smile ever, and his face was full of noor. His bride looked beautiful, but now that I was in the picture, their marriage ceremony was no longer to continue. I saw myself looking at the bride because I feel sad for her since she wasn’t gettin married to him anymore, she smiled at me and thats when I thought why is she smiling at me when im the one getting married to him now. I have never seen my boyfriend in a dream that felt so real…and that had such clear detailed quality.
","
wa `alaykum salam,

Allah is showing you through this dream that marriage is what brings lights, spirituality and perfected character but “girlfriend-boyfriend” is what bring darkness, sadness and death of the spirit. Convince this man to marry you and move into the nur!
and Allah knows best,
Taher Siddiqui

"
https://eshaykh.com/family/marriagedivorce/marriage-118/,"
I want to marry this girl my parents won’t allow because she’s from a different sub caste. I have no contact with this girl as she doesn’t want to talk to men and has allowed her parents to make her marriage decision, she is a doctor and I myself am a taxi driver does this make a difference
","
A`udhu billahi min ash-shaytan ir-rajeem
Bismillahi ‘r-Rahmani ‘r-Raheem
Please see here and here for an answer.
Staff
"
https://eshaykh.com/dreams/istikhara-part-1/,"
I asked guidence throw Istikhara about starting a new business.
I saw in my dream that its all dark and in the middle of no where up in mountains a person gives me a hat and there is something inside the hat. I feel in my heart that this particular  thing is of a great value and belongs to supernaturals and I have to return them.
I come home stand for prayer and pray sallah to ask Allah to help me return this thing to supernaturals, while in the middle of Sallah I put my hand on hat and feel that its empty and that thing has been returned to supernaturals. while I am in sajda I feel supernaturals all around me on my shoulder I feel the forces and their presence. but instead of being afraid I feel strong and I realize that my shoulders are broader than normal,,,,,,,,,,,,,,,,
","
It means through awliyaullah’s prayers your business will do well insha-Allah and your broadened shoulders are sign that you will be supported to carry the extra burden that entails. You will then “owe” the awliyaullah for their support and this can be returned by paying constant sadaqa to a charity which they run, such as a zawiya/khaniqa etc.
and Allah knows best.
Taher Siddiqui

"
https://eshaykh.com/dreams/mawlana/,"
aslaamuleikum wa rahmatullahi wa barakatu hu,
I had a dream where mawlana is sat with me and points out to a name in a book and says this is the person who you are going to marry. As soon as this is said mawlana disappears and the girl walks through the door I cannot remember the name or face. In the same dream I am walking with mawlana and I ask to show me something, as I’m saying this I  follow mawlana down a route and end up in the mountains where there are 4 graves which I done ziarat.
","
a`udhu billahi min ash-shaytan ir-rajeem
Bismillahi ‘r-Rahmani ‘r-Raheem:
wa `alaykum salam,
This dream can mean that the one you are going to marry is already in the book and not to worry about looking elsewhere.
The shaykh is taking you from down up to the mountain and shows you the spiritual states of the saints to benefit from their blessings.
And Allah knows best.
Yassir Chadly
"
https://eshaykh.com/uncategorized/did-i-do-the-dua-right/,"
I just started the dua of Dawud alayihi’s-salam. I fasted on a thursday during ramadan. Is that okay? Will that fast count for both?
In the directions it says write it on a paper before reciting the dua. I wrote it after reciting it. Is that okay?
","
Sorry for the late answer. That is all ok Insh-Allah. “Actions are by intentions.”
Taher Siddiqui

"
https://eshaykh.com/prayer_request/dua-requested-from-shaykh-nazim/,"
Please request Shaykh Nazim to make dua for me that Allah grants me a righteous loving spouse, and success at work. Also please request him to make dua for my siblings and parents (my father has passed away), for their successes in this world and the next in all matters. We are facing some family complications at this time. Also please ask him to pray for our forgiveness from Allah (SWT) for all actions displeasing to Him.
Jazakumullahukhairun, and please excuse my lack of adab.
","
Wa `alaykumu s-salāmu wa rahmatu l-lāhi wa barakātuh 
Audhu billahi min ash-shaytan ir-rajim
Bismi-llāhi r-raḥmāni r-raḥīm 
Insha Allah Mawlana Shaykh Nazim and Mawlana Shaykh Hisham Kabbani are praying for you and your family.
And Allah knows best.
Wissam
"
https://eshaykh.com/sufism/what-does-may-allah-sanctify-his-secret-mean/,"
As salaam alaykum,
I don’t understand this phrase.  What is meant by “the secret” if you can give me general idea of its parameters at least?  What am I asking be sanctified?
And what does saying Ha Miiim in Hizb Al- Nasr do for one? Can it be said as a zikr in its own, and if so, to what purpose?
Fi Amanillah.
","
Alaykum Salam,
It is an affirmation of respect for the content referred to in such verses as ‘truly Allah knows the contents of breasts’ with specific relation to the righteous of the Umma. By the same token it is a prayer for its principal ingredient namely sincerity. As for the Disjointed Letters in Qur’an they stand for many blessed meanings such as the Divine and Prophetic or angelic names, and more. Allah knows best.
Hajj Gibril Haddad
"
https://eshaykh.com/family/what-should-i-do-7/,"
SALAM.
I loved a girl who is Hindu, we loved each other a lot but we had frequent fights. I crossed my limits saying that I will marry her. My mother is not accepting as she is non- Muslim. I cant go against my mother and its been more than one year I am unable to forget her nor I can. Please let me know if my mother herself will accept our relation? Or will I get punishment for zina?
","
Alaykum salam,
Marriage with a Hindu girl is invalid and forbidden but if she becomes Muslim there is no problem.
Hajj Gibril Haddad
"
https://eshaykh.com/sufism/taking-mureedh/,"
Assalamu alaikum,Sheikh,
May Allah be pleased with you. I Love you so much. Sir I already have mureedh in Qadiriya Tareekah”. Can we take another mureedh from Naqshabandhi Tareekah? If so what I must do? I’m from Si Lanka. May Allah bless you my Mawlana.
","
wa `alaykum salam,
Please see the post Nur Ala Nur Bayah.
Staff
"
https://eshaykh.com/prayer_request/which-way/,"
A troubled marriage heavily burdened by evil eyes & black magic. A relation neither the happiest together or the happiest apart. In between not knowing what to do. Love no doubt is there, but negative emotions and outrage. Love so deeply that the fear of separation tears one apart, together is suffering and life is at stand-still when apart. Someone whom one can’t live with or live without. Years of not knowing what to do. I am weak in this matter & know not what to do. Guide me please, show me a way.
","
Build up your love on a foundation of dhikr that will protect it. Make or renew your bayaa to Mawlana Shaykh Nazim and join a weekly group dhikr in your area.
Hajj Gibril Haddad
"
