link,question,answer
http://www.sistani.org/english/qa/01224/,Is invocation of the jinn with a view to solving the problems of the faithful permissible?,"If it puts a person in harm’s way, it is harãm, and therefore forbidden."
http://www.sistani.org/english/qa/01166/,"If a mother advises her son to divorce his wife with whom she has differences, is it obligatory upon him to obey her in this matter? What if she says, “You are an ‘ãq (disowned) child, if you do not divorce her”?","It is not obligatory on him to obey her in this matter, and her statement [about him becoming disobedient] has no effect whatsoever. Of course, as mentioned earlier, it is necessary for him to hold back from any insulting statement or action towards her. He must reconcile with his wife and make sure to do whatever he can to save the marriage."
http://www.sistani.org/english/qa/01261/,Is mourning for Imam Hussain and other Infallibles (a.s.) recommended?,"Yes, it is recommended and God will reward those who sincerely revive their memories and commemorate their martyrdom?"
http://www.sistani.org/english/qa/01135/,An elderly person has a habit of doing gheebat and it is very difficult for me to stop him and I also do not want to hear but I am forced to. What should I do?,"To listen to someone who is backbiting is not Haram in it self, however the listener must act in accordance to enjoining the good (Amr bil Marouf) and forbidding the evil (Nahy anil Munkar)., and if it is not effective one must show their dissatisfaction from the person performing the backbiting."
http://www.sistani.org/english/qa/01250/,"Some Western governments allow the daughter to be independent of her parents, after she has passed the age of sixteen. If she seeks her parents advice, it is only for seeking their opinion or out of respect for them. Is such a virgin girl allowed to marry, be it permanent or a temporary marriage, without the consent of her father?","If this means that the father has allowed her to marry whomsoever she wants or that he has withdrawn from interfering in the matter of her marriage, it is permissible for her to do so; otherwise, based on obligatory precaution, it is not permissible."
http://www.sistani.org/english/qa/01166/,"If a Judge (Qazi) did all things for a divorce but didn’t give any certificate or any proof, can she get married again or she may have to wait for any certification or a period ?","Issuing a certificate is not a prerequisite or condition for the validity of divorce. {Meaning, a certificate issued cannot be enough proof for the validity of divorce}. There should be two just male witnesses and it should be carried out by the husband himself or his representative (wakil)."
http://www.sistani.org/english/qa/02657/,There is a woman who is breastfeeding her child and the child is dependent on the milk it is receiving from its mother. Can the mother break her fast since she fears for her child? Is it permissible for her not to fast?,"If a woman is suckling a child, whether she is the mother or a nurse, or suckles it free, and the quantity of her milk is small, and if fasting is harmful to her or to the child, it will not be obligatory on her to fast. And she should give one mudd of food stuffs (wheat or flour or noodles) per day to poor. 
In both the cases, she will later give qadha for the fasts left out. But this rule is specifically applicable in a circumstance where this is the only way of feeding milk to the child - (as an obligatory precaution). But if there is an alternative, like, when more than one woman offer to suckle the child, then establishing this rule is a matter of Ishkal."
http://www.sistani.org/english/qa/01306/,What is the duty of a Hajj pilgrim in the present circumstance in which the old distance between Safa and Marwah is closed and reconstructed whereas an alternate route has been opened for pilgrims to perform their Umrah? Is the Umra valid?,"The reply is in different forms: 
 N* 1- The pilgrim knows that Safa &amp; Marwa mounts do not continue up to the new Masa'a (place for Sai'ee). In this case, to be able to come out from the state of Ihram, the pilgrim should slaughter an animal (Kurbani) in Mecca -in terms of obligatory precaution, that animal should have the same conditions as the sacrifice in Mina- and distribute it among the poor and then cut his hair (Takseer) or shave his head (Halq). This applies to the one who was not aware of this current situation before being clothed in Ihram. Otherwise, if he had known this problem beforehand, according to obligatory precaution, he cannot come out from Ihram and should stay there until the accomplishment of the Sai'ee become possible for him. He may refer in this case to another Marja considering the most knowledgeable (Aalam fal Aalam) 
 N* 2- The pilgrim is sure that the mounts continue up to the new   
Masa'a or this is proven by the Fatwa of some other Maraje that   
trustees had witnessed and this witness is not contradicting the view of other trustees. In such case, it is allowed to do the Sai'ee in the new place. 
   N* 3- If none of the above situations are proven for him, he should do both: Sai'ee in the new way and also slaughtering an animal with the same conditions mentioned above, and then do Halq or Taqseer. 
 Note: 
 For those who have already done their Umra with the Sai'ee in the new way should now sacrifice the animal and then do Halq or Taqseer, even if they have already come back to their countries, as they are still considered as Muhrim (being in the state of Ihram)."
http://www.sistani.org/english/qa/01253/,"Is taking pictures of a dead body allowed, Haram or Makruh?",There is no problem in it.
http://www.sistani.org/english/qa/01234/,Is it obligatory for a woman to pay khums on the cash amount that she receives from her husband as mahr?,It is not obligatory.
http://www.sistani.org/english/qa/01247/,Is earning from professional sports halal?,It is halal.
http://www.sistani.org/english/qa/01296/,Can a woman who is in her menstrual period read or touch the Quran?,"Yes, she can read the Quran except for the those verses which include obligatory Sajdas. She cannot touch the verses."
http://www.sistani.org/english/qa/01231/,I have not been able to attend Friday prayers for many weeks.  What should I do?,"If you performed Zuhr prayer, it is sufficient."
http://www.sistani.org/english/qa/01151/,Can I be in a friendly relationship with a girl in my class.,"All kinds of relations with a non-mahram including joking, expressing mutual love, talking with the intention of deriving pleasure, looking at the body of a girl (except her face and hands up to the wrists) and at her hair or looking at her face with pleasure are Haram (forbidden).  In fact, if it is feared that they might fall into a sin, it is forbidden for them to have any kind of relationship with each other."
